"Auftragsnummer..None.","Runtime","product_code..None.","Durchsatz..kg.h.","Bahngeschwindigkeit..m.min.","Elektrische.Leistung.Gesamt..kW.","Leistung..kW.","Anlage.Stillstandsgrund....","Produktionsstatus....","Folienprofil.3.Sigma....","Extruder.A.Durchsatz..kg.h.","Extruder.A.Drehzahl..1.min.","Extruder.A.Motorstrom..A.","Extruder.A.Massetemperatur..Â.C.","Extruder.B.Durchsatz..kg.h.","Extruder.B.Drehzahl..1.min.","Extruder.B.Motorstrom..A.","Extruder.B.Massetemperatur..Â.C.","Extruder.C.Durchsatz..kg.h.","Extruder.C.Drehzahl..1.min.","Extruder.C.Motorstrom..A.","Extruder.C.Massetemperatur..Â.C.","Wickler.A.Anpresskraft..N.","Wickler.A.Zentralantrieb.Kraft..N.","Wickler.B.Anpresskraft..N.","Wickler.B.Zentralantrieb.Kraft..N.","Runtime_h","Qty"
"3119566820",72490,94168028.0034483,786.737116949673,50.8191297562369,286.128406576222,NA,0.0153103448275862,39.7943448275862,2.20214533856819,238.652550002789,160.323724449158,68.2623448275862,200.522068965517,370.346956321979,123.258441234243,69.5107586206897,196.187586206897,177.75905861506,117.466951736976,45.6706206896552,195.834620689655,157.967586206897,74.0896551724138,157.951310344828,73.176,20.1361111111111,15841.8260021338
"3139969803",58120,94139943.1319456,519.088232413475,53.2384658851538,224.781537420672,NA,0,31.5413727851368,6.52032081014048,132.991294007734,76.1163258627198,44.1460519525202,179.0681231722,256.673466596959,82.2146741019537,64.6428694305866,228.562360227077,129.423112925371,76.9935658079364,43.0206433855152,193.349905384483,246.362635472217,83.4832272492689,245.929812489248,83.400653707208,16.1444444444444,8380.39112996422
"3144167804",13380,94161276.8073189,454.412878228801,38.1690812791079,207.441922439222,NA,0.0687079910380881,32.537714712472,3.89841011961153,99.6594943231037,55.4729643667519,51.4794622852875,183.800597460792,228.294813844141,63.3683342251696,62.7998506348021,211.16355489171,126.516752218826,72.1504854230047,52.9297983569828,206.757281553398,149.077669902913,96.2173263629574,147.961911874533,77.4428678117999,3.71666666666667,1688.90119741704
"3144167805",14150,94164280.7457627,521.783017605712,44.1854504515222,241.416969062245,NA,0,45.3545197740113,4.17105047227973,95.8774231086343,51.6625005026995,63.8411016949153,187.996468926554,266.132283787269,74.8713275025793,75.2132768361582,210.401129943503,159.779507426892,89.7520474794894,68.0070621468927,215.901836158192,156.141242937853,93.6991525423729,156.228813559322,92.4526836158192,3.93055555555556,2050.89713864467
"3155323803",45070,94164025.2329193,559.299686299877,76.706011526756,234.886058895379,NA,0,49.2149511978705,5.83357479377669,151.870131322527,87.2909267733556,46.8740017746229,180.915483584738,259.155336005982,81.1945428179764,63.3267524401065,226.274179236912,148.274293410429,87.106366244691,45.8895297249335,194.001109139308,465.683451641526,79.756876663709,465.91149068323,79.7355811889973,12.5194444444444,7002.12135042651
"3158343804",25170,94168210.9027006,516.052818510436,39.6378062644395,234.20094846524,NA,0,49.6175536139793,3.50260437945698,122.678064638703,65.9293884750015,65.8173153296267,211.009134233519,261.930018721165,74.3744241503897,75.0746624305004,210.819698173153,131.441499329825,71.3450350924273,64.0730738681493,211.694598888006,156.190230341541,80.9638602065131,156.388800635425,80.950357426529,6.99166666666667,3608.0692894188
"3158343805",23890,94168224.9046025,517.437884112881,39.989499402545,234.169035498966,NA,0,24.4426778242678,4.38148198716311,129.470754867618,72.8438499514528,65.7481171548117,210.812552301255,257.427317267382,70.2461503000938,74.2050209205021,206.237656903766,130.547440430709,71.1372805288147,64.5518828451883,209.691631799163,156.298744769874,124.09079497908,156.304184100418,124.061924686192,6.63611111111111,3433.77529207131
"3161074.803",20980,94164586.5540734,516.605991023674,36.5079567079149,233.178571841897,NA,0,43.433539780848,3.28980184828116,129.464480559561,69.14606963617,67.5864697474988,211.685088137208,255.567061847252,70.8662218527319,76.3320628870891,208.274416388757,131.575952174608,70.8153879675427,64.7255836112435,211.696045736065,158.641734159123,113.971414959505,158.686040971891,113.963792282039,5.82777777777778,3010.66491435463
"3161074804",41470,94165694.9891514,439.603564874415,31.0861136686836,209.404881527937,NA,0.0923336547733848,1.70540019286403,2.36808713859624,101.421466538393,66.8461427369596,48.1576663452266,219.364030858245,226.73563848535,70.2332207429777,58.7348119575699,212.431533269045,111.568754036148,70.6629700432806,50.6162005785921,212.248553519769,143.678399228544,104.003857280617,143.749276759884,94.4590163934426,11.5194444444444,5063.98884315056
"3161454.802",72080,94165680,569.810547551263,36.4919961196636,228.420612414579,NA,0.00554861978082952,36.093494243307,3.09580934214714,86.07929877584,44.0368837857398,44.508531002913,200.134554029685,298.333565733538,79.2905393072637,70.6471077819392,208.623526147871,185.423732842763,98.4547515058473,63.0474406991261,218.877930364822,105.979331391316,88.1695103343043,105.484671937855,78.9581079206547,20.0222222222222,11408.8734076375
